artist,track,year,decade,duration,tempo,energy,danceability,key,genre
George Baker Selection,Una Paloma Blanca,1975,1970s,93.0133,131.787,0.8125,0.7091,F,"Rock,Funk / Soul,Pop,Stage & Screen"
David Bowie,"Let's Dance",1983,1980s,456.0167,115.113,0.8011,0.6278,Bb,"Rock,Pop"
Carl Douglas,Kung Fu Fighting,1974,1970s,192.2133,102.224,0.673,0.5797,D,Funk / Soul
Tiffany,"I Think We're Alone Now",1988,1980s,192.6533,131.977,0.8885,0.7231,G,Pop
Paul Anka,Diana,1957,1950s,172.5116,140.031,0.888,0.5472,F,"Rock,Pop"
The Chordettes,Mister Sandman,1954,1950s,155.7943,208.712,0.3576,0.5042,Ab,Pop
The Beach Boys,Good Vibrations,1966,1960s,296.1867,130.891,0.505,0.289,Bb,"Rock,Pop"
Steve Miller Band,The Joker,1974,1970s,217.8,165.451,0.3394,0.4168,Bb,Rock
Stevie Wonder,Superstition,1973,1970s,252.4267,100.489,0.7291,0.6255,Bb,Funk / Soul
Phil Harris,The Thing,1950,1950s,141.36,126.618,0.4635,0.88,D,Jazz
Elvis Presley,Wooden Heart,1961,1960s,61.92,81.711,0.1516,0.7808,Eb,Pop
TLC,No Scrubs,1999,1990s,233.4267,92.907,0.6215,0.7984,Ab,"Hip Hop,Funk / Soul"
Kim Carnes,Bette Davis Eyes,1981,1980s,156.3733,116.601,0.5669,0.6328,F,"Electronic,Pop"
The Hollies,The Air That I Breathe,1974,1970s,251,83.47,0.3867,0.397,C,"Rock,Pop"
Wet Wet Wet,Love is All Around,1994,1990s,209.6396,84.903,0.7325,0.5217,Bb,Rock
The Everly Brothers,Bird Dog,1958,1950s,131.125,144.303,0.5985,0.5346,B,Rock
The Box Tops,The Letter,1967,1960s,112.8703,140.28,0.3097,0.6729,A,Rock
Vanessa Carlton,A Thousand Miles,2002,2000s,236.96,94.906,0.7824,0.5684,B,Rock
Spice Girls,Wannabe,1996,1990s,172.4,110.031,0.8273,0.7575,B,"Electronic,Pop"
The Ronettes,Be My Baby,1963,1960s,153.6129,131.323,0.7178,0.4477,E,"Rock,Pop"
The Black Eyed Peas,I Gotta Feeling,2009,2000s,279.1067,129.773,0.6554,0.7527,C,Electronic
Lady GaGa,Poker Face,2009,2000s,237.3544,119.003,0.806,0.8532,Ab,"Electronic,Pop"
The Beatles,Yellow Submarine,1966,1960s,171.0557,109.088,0.4872,0.6676,C#,Rock
Cliff Richard,"We Don't Talk Anymore",1979,1970s,254.8,111.651,0.6485,0.7019,C,"Rock,Pop"
Madonna,Like a Prayer,1989,1980s,340.8667,111.926,0.6286,0.6596,F,"Electronic,Pop"
Louis Armstrong,Hello Dolly,1964,1960s,152.5067,80.667,0.5352,0.5229,E,Jazz
Tony Bennett,Stranger in Paradise,1954,1950s,186.2784,83.895,0.2276,0.22,F#,Pop
The Everly Brothers,Bye Bye Love,1957,1950s,159.9995,82.752,0.6675,0.4919,A,Rock
Rosemary Clooney,Hey There,1954,1950s,89.8,88.036,0.0802,0.4974,G,"Jazz,Pop"
t.A.T.u.,All the Things She Said,2003,2000s,213.3333,89.973,0.8068,0.6021,F,Electronic
Bob Dylan,Like a Rolling Stone,1965,1960s,186.6529,106.406,0.7116,0.5903,C,"Rock,Pop,Folk, World, & Country"
Tom Jones,"She's a Lady",1971,1970s,177.72,119.193,0.8912,0.4445,B,Pop
Roxette,The Look,1989,1980s,220.9432,95.038,0.8192,0.6567,D,"Rock,Pop"
Boyz II Men,"I'll Make Love to You",1994,1990s,258.9756,71.307,0.3713,0.326,E,Funk / Soul
The Monkees,Daydream Believer,1967,1960s,164.5448,125.615,0.3004,0.4874,G,Rock
Diana Ross,Upside Down,1980,1980s,213.3062,110.065,0.886,0.8531,C#,Funk / Soul
The Doors,Light My Fire,1967,1960s,429.76,124.618,0.7249,0.4126,Eb,Rock
Gwen Stefani,Hollaback Girl,2005,2000s,48.3522,110.022,0.7332,0.9595,Bb,"Electronic,Hip Hop,Pop"
Queen,Another One Bites the Dust,1980,1980s,358.9333,115.991,0.9836,0.5337,E,Rock
Mary Hopkin,Those Were the Days,1968,1960s,296.6533,177.477,0.2575,0.3575,F#,Pop
Neil Sedaka,Oh Carol,1959,1950s,136.3708,132.128,0.5526,0.5666,Ab,"Rock,Pop"
Mario,Let Me Love You,2005,2000s,113.3187,94.249,0.5092,0.6655,G,Electronic
Madonna,Vogue,1990,1990s,258.6379,116.274,0.5588,0.7227,E,"Electronic,Pop"
Frankie Laine,I Believe,1953,1950s,63.93,98.227,0.1478,0.5012,C#,Pop
Elton John,Crocodile Rock,1973,1970s,234.1067,149.946,0.612,0.614,E,"Rock,Pop"
The Kinks,Lola,1970,1970s,244.3489,149.04,0.5075,0.4833,C#,"Rock,Pop"
Eminem,Just Lose It,2004,2000s,200.2533,121.082,0.2728,0.9603,D,Hip Hop
Irene Cara,Flashdance... What a Feeling,1983,1980s,244.2662,121.845,0.7458,0.3548,Bb,"Electronic,Pop,Stage & Screen"
The Beatles,Ticket to Ride,1965,1960s,193.12,123.46,0.4113,0.4999,E,Rock
Don McLean,American Pie,1972,1970s,515.883,138.484,0.5162,0.5608,G,Rock
Fats Domino,Blueberry Hill,1956,1950s,30.0665,130.52,0.4348,0.4967,F,Rock
The Diamonds,"Little Darlin'",1957,1950s,30.0665,76.345,0.5163,0.6163,F#,"Rock,Pop"
Bonnie Tyler,Total Eclipse of the Heart,1983,1980s,270.3067,131.165,0.6552,0.4289,Ab,Rock
Little Richard,Long Tall Sally,1956,1950s,127.7097,184.183,0.5765,0.4273,F,Rock
Rick Astley,Never Gonna Give You Up,1987,1980s,213.2529,113.314,0.9778,0.6179,Ab,"Electronic,Pop"
The Platters,Smoke Gets in Your Eyes,1959,1950s,156.0796,118.818,0.3931,0.303,Eb,Pop
Pat Boone,Speedy Gonzales,1962,1960s,155.0262,144.748,0.6007,0.598,A,"Rock,Pop"
Irene Cara,Fame,1980,1980s,320.5917,131.927,0.9333,0.6381,Eb,"Electronic,Stage & Screen"
Jennifer Lopez,If You Had My Love,1999,1990s,255.0133,94.015,0.6277,0.6835,B,"Hip Hop,Pop"
The Knack,My Sharona,1979,1970s,313.1333,150.231,0.9606,0.4319,C,Rock
Beyonce,If I Were a Boy,2008,2000s,211.8929,127.003,0.82,0.7005,Bb,Funk / Soul
Foreigner,I Want to Know What Love Is,1985,1980s,370.2533,83.697,0.8425,0.3684,F#,Rock
Bonnie Tyler,"It's a Heartache",1978,1970s,198.8133,116.976,0.8667,0.5517,C,"Rock,Pop"
Eddie Fisher,Oh My Papa (O Mein Papa),1954,1950s,188.331,95.852,0.3366,0.2456,Bb,Pop
Take That,Back For Good,1995,1990s,203.4412,79.006,0.4969,0.6069,F,"Electronic,Pop"
Jerry Lee Lewis,Great Balls of Fire,1957,1950s,111.1751,91.874,0.8421,0.3209,C,Rock
Tony Orlando & Dawn,Knock Three Times,1971,1970s,176.8667,123.13,0.7008,0.7833,C#,Pop
Patti Page,Tennessee Waltz,1950,1950s,181.5958,85.797,0.1386,0.4941,F,Pop
Elvis Presley,Stuck On You,1960,1960s,25.051,131.371,0.4612,0.7534,G,"Rock,Pop"
Edwin Hawkins Singers,Oh Happy Day,1969,1960s,302.5729,120.09,0.4862,0.513,Ab,Funk / Soul
Avril Lavigne,Girlfriend,2007,2000s,216.68,163.983,0.9628,0.5531,G,"Rock,Pop"
Survivor,Eye of the Tiger,1982,1980s,227.5467,108.744,0.7285,0.7915,C,Rock
Eric Clapton,Tears in Heaven,1992,1990s,289.1862,177.37,0.2186,0.4889,A,Rock
The Platters,The Great Pretender,1956,1950s,198.16,181.551,0.4302,0.2662,A,Pop
Tennessee Ernie Ford,Sixteen Tons,1955,1950s,156.2129,143.919,0.2086,0.5994,E,"Rock,Funk / Soul,Pop"
Sean Kingston,Beautiful Girls,2007,2000s,257.424,130.015,0.3985,0.7871,C#,"Hip Hop,Reggae,Funk / Soul"
James Blunt,"You're Beautiful",2005,2000s,230.8698,79.229,0.5688,0.4784,Eb,Rock
Ace of Base,The Sign,1994,1990s,189.7867,97.01,0.8281,0.8022,E,Electronic
Prince,When Doves Cry,1984,1980s,284.9316,128.84,0.4263,0.4458,A,"Funk / Soul,Pop"
Michael Jackson,You Are Not Alone,1995,1990s,295.9867,119.416,0.4321,0.6393,B,"Electronic,Funk / Soul"
Elvis Presley,Love Me Tender,1956,1950s,211.92,75.872,0.5191,0.2024,Bb,"Pop,Stage & Screen"
Van Halen,Jump,1984,1980s,241.5995,129.994,0.8347,0.5724,C,Rock
The Black Eyed Peas,"Don't Phunk With My Heart",2005,2000s,241.3733,130.881,0.8752,0.6841,F,"Electronic,Hip Hop"
Steve Miller Band,Abracadabra,1982,1980s,307.96,127.507,0.5666,0.7985,A,Rock
Santana,Maria Maria,2000,2000s,237.8929,97.892,0.7437,0.7487,E,"Rock,Latin"
Kay Starr,Wheel of Fortune,1952,1950s,180.9333,71.696,0.1375,0.5304,Ab,"Jazz,Pop"
Simon & Garfunkel,The Sounds of Silence,1966,1960s,273.28,91.599,0.4327,0.2918,G,"Rock,Pop"
U2,Desire,1988,1980s,144.0653,107.887,0.7299,0.274,Ab,Rock
Chicago,If You Leave Me Now,1976,1970s,293.9329,99.433,0.536,0.3761,B,Rock
Los Lobos,La Bamba,1987,1980s,203.3894,187.237,0.8577,0.1808,C,"Rock,Latin"
C&C Music Factory,Gonna Make You Sweat (Everybody Dance Now),1991,1990s,246.4653,113.216,0.8203,0.848,F#,Electronic
Elvis Presley,Jailhouse Rock,1957,1950s,98.0533,96.557,0.4967,0.5076,D,Rock
Boney M,Daddy Cool,1976,1970s,205.8933,124.649,0.7558,0.7598,F,Funk / Soul
Coolio,"Gangsta's Paradise",1995,1990s,221.9067,80.019,0.7312,0.527,Ab,Hip Hop
Blondie,Heart of Glass,1979,1970s,416.0667,115.863,0.941,0.4782,D,"Electronic,Rock"
The Beatles,Paperback Writer,1966,1960s,141.7661,79.162,0.5374,0.456,G,Rock
Eagles,Hotel California,1977,1970s,243.5391,137.951,0.3246,0.6499,B,Rock
The Beatles,All You Need is Love,1967,1960s,227.3447,102.883,0.4083,0.3997,G,Rock
George McCrae,Rock Your Baby,1974,1970s,386.1467,110.024,0.875,0.6805,Bb,Funk / Soul
The Beatles,I Feel Fine,1964,1960s,139.1538,90.083,0.554,0.5287,G,Rock
The Beatles,I Want to Hold Your Hand,1964,1960s,144.8533,130.919,0.6977,0.4939,G,"Rock,Pop"
Berlin,Take My Breath Away,1986,1980s,251.3328,96.295,0.6859,0.2257,F#,Electronic
The Fray,How to Save a Life,2007,2000s,261.16,122.028,0.7215,0.6394,Bb,Rock
Akon,Smack That,2006,2000s,217.3852,120.007,0.7779,0.9034,F,Hip Hop
The Beatles,Get Back,1969,1960s,187.1435,125.597,0.5903,0.7226,D,"Rock,Pop"
The Everly Brothers,"Cathy's Clown",1960,1960s,147.6133,123.219,0.74,0.6053,G,Rock
Ben E King,Stand By Me,1961,1960s,174,119.798,0.3173,0.6127,A,"Rock,Funk / Soul"
Bon Jovi,Always,1994,1990s,353.1067,141.42,0.6783,0.3733,E,Rock
Al Martino,Here in My Heart,1952,1950s,192.4533,130.956,0.2572,0.2299,A,Pop
UB40,Red Red Wine,1983,1980s,352.514,175.584,0.6496,0.4413,C#,Rock
Hot Butter,Popcorn,1972,1970s,151.9067,133.583,0.794,0.7785,B,Electronic
Shocking Blue,Venus,1970,1970s,185.1429,130.052,0.7709,0.6576,B,"Rock,Pop"
Madonna,Like a Virgin,1984,1980s,218.6267,119.747,0.6554,0.7698,Eb,Electronic
Buddy Holly,"That'll Be the Day",1957,1950s,30.0665,65.889,0.6994,0.4852,E,Rock
Gloria Gaynor,I Will Survive,1979,1970s,266.1067,127.982,0.9873,0.6468,A,Funk / Soul
Britney Spears,Toxic,2004,2000s,218.7462,135.011,0.9373,0.5642,C#,Pop
Christina Aguilera,Beautiful,2003,2000s,236.5196,132.053,0.846,0.5513,F,Pop
Phil Collins,In the Air Tonight,1981,1980s,288.5435,94.526,0.0815,0.5529,C,Rock
The Marcels,Blue Moon,1961,1960s,136.96,127.411,0.5305,0.4287,G,"Rock,Pop"
Creedence Clearwater Revival,Proud Mary,1969,1960s,248.68,134.36,0.7044,0.2698,D,Rock
Frankie Avalon,Venus,1959,1950s,158.6667,124.111,0.5322,0.6653,Bb,Pop
Evanescence,Bring Me to Life,2003,2000s,252.864,95.083,0.9184,0.2921,E,Rock
Crash Test Dummies,Mmm Mmm Mmm Mmm,1994,1990s,233.6533,92.949,0.6468,0.5672,Eb,Rock
Blondie,Call Me,1980,1980s,479.8689,142.823,0.5276,0.5478,D,"Rock,Stage & Screen"
Bill Haley & his Comets,Rock Around the Clock,1955,1950s,138.5062,205.532,0.951,0.4705,A,Rock
Peter Gabriel,Sledgehammer,1986,1980s,306.7032,96.398,0.5828,0.6681,Ab,Rock
Elvis Presley,Good Luck Charm,1962,1960s,25.051,120.786,0.347,0.778,D,Pop
Tony Bennett,Because of You,1951,1950s,181.56,85.578,0.2626,0.2161,F#,Pop
Falco,Rock Me Amadeus,1986,1980s,200.0933,177.816,0.9048,0.5807,E,Electronic
Michael Jackson,Billie Jean,1983,1980s,294.2396,116.74,0.4172,0.9206,F#,Electronic
Roberta Flack,The First Time Ever I Saw Your Face,1972,1970s,260.6664,120.653,0.0264,0.311,C,Funk / Soul
The Rolling Stones,Angie,1973,1970s,206.3371,78.976,0.5013,0.4448,C,Rock
Cher,Believe,1998,1990s,100.9995,133.007,0.977,0.664,Eb,"Funk / Soul,Pop"
Enrique Iglesias,Hero,2001,2000s,246.5462,152.017,0.5127,0.5657,G,"Electronic,Pop"
Lionel Richie,Hello,1984,1980s,268.1467,124.145,0.5184,0.5222,A,"Funk / Soul,Pop"
Elton John,Goodbye Yellow Brick Road,1973,1970s,195.7467,121.342,0.4838,0.5634,F,Rock
Ray Charles,"I Can't Stop Loving You",1962,1960s,252.8533,78.57,0.38,0.3027,F,Funk / Soul
Leona Lewis,Bleeding Love,2008,2000s,239.5067,104,0.7394,0.67,F,"Electronic,Pop"
Culture Club,Do You Really Want to Hurt Me?,1982,1980s,247.6533,103.899,0.8019,0.5763,E,Pop
Kanye West,Stronger,2007,2000s,246.1067,108.495,0.5919,0.4119,C#,Hip Hop
Eminem,Lose Yourself,2002,2000s,265.7432,85.7,0.4788,0.7767,D,Hip Hop
Kool & The Gang,Celebration,1981,1980s,696.4395,120.926,0.7807,0.4749,C#,Funk / Soul
Sandie Shaw,Puppet On a String,1967,1960s,141.9867,124.172,0.766,0.7328,C,Pop
"Plain White T's",Hey There Delilah,2007,2000s,232.7733,103.974,0.3733,0.6552,D,Rock
Mungo Jerry,In the Summertime,1970,1970s,209.68,165.27,0.6516,0.5745,E,Rock
Bon Jovi,"Livin' On a Prayer",1987,1980s,220.3867,112.014,0.4812,0.6353,Eb,Rock
Elvis Presley,"She's Not You",1962,1960s,123.9446,118.197,0.4098,0.5637,F,Rock
Seal,Kiss From a Rose,1995,1990s,218.4,131.665,0.5468,0.5769,Bb,Electronic
Tom Jones,Delilah,1968,1960s,164.64,162.419,0.7906,0.3987,F#,Pop
Alanis Morissette,Ironic,1996,1990s,225.9333,85.482,0.5933,0.2954,B,Pop
Kris Kross,Jump,1992,1990s,204.5462,102.2,0.8414,0.7575,G,Hip Hop
"Destiny's Child",Lose My Breath,2004,2000s,243.066,118.911,0.8026,0.8088,Ab,"Electronic,Hip Hop"
The Black Eyed Peas,Boom Boom Pow,2009,2000s,204.8796,130.062,0.9376,0.8973,A,Pop
Tina Turner,"What's Love Got to Do With It?",1984,1980s,328.4262,100.474,0.6407,0.6229,D,"Rock,Funk / Soul"
OutKast,Ms Jackson,2001,2000s,239.5867,94.933,0.7744,0.8315,D,"Hip Hop,Pop"
Creedence Clearwater Revival,Up Around the Bend,1970,1970s,212.6533,138.566,0.705,0.276,A,Rock
Dean Martin,"That's Amore",1953,1950s,185.4633,104.988,0.1789,0.4498,Bb,Pop
The Pussycat Dolls,"Don't Cha",2005,2000s,282.8476,120,0.2746,0.8714,C#,"Hip Hop,Pop"
INXS,Need You Tonight,1988,1980s,182.8,108.676,0.6397,0.81,Bb,Rock
Roxette,It Must Have Been Love,1990,1990s,440.1067,79.551,0.6758,0.347,F,"Rock,Pop"
Jive Bunny & The Mastermixers,Swing the Mood,1989,1980s,244.3467,185.745,0.8062,0.5746,Ab,Rock
Rosemary Clooney,Mambo Italiano,1954,1950s,132.1008,74.456,0.4933,0.6671,A,Pop
The Platters,My Prayer,1956,1950s,30.0665,72.255,0.2533,0.2701,D,"Rock,Funk / Soul,Pop"
Doris Day,Secret Love,1954,1950s,109.19,102.798,0.1337,0.2655,B,"Pop,Stage & Screen"
Percy Faith,Delicado,1952,1950s,221.2815,94.018,0.5072,0.3735,G,Jazz
Nena,99 Red Balloons,1984,1980s,254.5067,193.597,0.5266,0.4809,E,"Electronic,Rock"
Fine Young Cannibals,She Drives Me Crazy,1989,1980s,215.3467,108.799,0.6937,0.7915,D,"Electronic,Pop"
Beyonce,Crazy in Love,2003,2000s,251.68,99.241,0.8394,0.717,D,Hip Hop
Madonna,"Who's That Girl?",1987,1980s,238.7733,103.833,0.8571,0.6121,A,"Electronic,Pop"
Boney M,Rivers of Babylon,1978,1970s,257.2667,115.026,0.7217,0.7232,C#,Funk / Soul
No Doubt,"Don't Speak",1997,1990s,364.0727,142.606,0.6408,0.279,F,"Electronic,Rock"
The Byrds,Mr Tambourine Man,1965,1960s,148.9067,118.196,0.5332,0.5683,D,"Rock,Pop"
The Rolling Stones,"Jumpin' Jack Flash",1968,1960s,220.3439,137.461,0.7968,0.5836,Eb,Rock
Rihanna,Take a Bow,2008,2000s,242.2667,130.031,0.9358,0.5657,A,"Hip Hop,Pop"
Ricky Nelson,Hello Mary Lou,1961,1960s,136,97.959,0.7789,0.493,A,"Rock,Folk, World, & Country"
Billy Eckstine,My Foolish Heart,1950,1950s,183.5067,86.302,0.2203,0.2731,A,"Jazz,Stage & Screen"
Mr Big,To Be With You,1992,1990s,206.9733,83.644,0.3912,0.6948,E,Rock
Bryan Adams,Have You Ever Really Loved a Woman?,1995,1990s,291.6667,145.67,0.477,0.5712,G,"Rock,Pop"
Natalie Imbruglia,Torn,1998,1990s,227.3067,96.306,0.8274,0.5669,F,Rock
Elvis Presley,Suspicious Minds,1969,1960s,304.2667,142.949,0.626,0.3656,G,Rock
U2,Beautiful Day,2000,2000s,305.1596,136.085,0.8939,0.4513,D,Rock
Janet Jackson,"That's the Way Love Goes",1993,1990s,183.3366,98.379,0.6984,0.7245,Bb,Hip Hop
Stevie Wonder,I Just Called to Say I Love You,1984,1980s,261.1067,113.538,0.5311,0.7393,C#,"Electronic,Funk / Soul,Stage & Screen"
Bee Gees,Tragedy,1979,1970s,302.0667,118.254,0.4773,0.6779,D,Funk / Soul
Patti Page,How Much is That Doggy in the Window?,1953,1950s,158.32,122.96,0.1857,0.6006,D,Pop
Domenico Modugno,Volare,1958,1950s,152.88,132.093,0.5353,0.3448,F,Pop
Eminem,Stan,2000,2000s,380.48,80.053,0.8337,0.6889,F,Hip Hop
Nickelback,How You Remind Me,2002,2000s,224.8267,171.631,0.6986,0.4625,Bb,Rock
Rosemary Clooney,Half As Much,1952,1950s,168.5867,106.376,0.2703,0.2667,Bb,Pop
The Beatles,Hey Jude,1968,1960s,431.3329,147.142,0.5473,0.4019,Bb,"Rock,Pop"
Avril Lavigne,Complicated,2002,2000s,252.1916,77.981,0.672,0.5479,F,"Rock,Pop"
Madonna,Frozen,1998,1990s,332.1333,117.994,0.7082,0.4053,F,"Electronic,Pop"
Katy Perry,I Kissed A Girl,2008,2000s,181.3595,130.001,0.7557,0.6818,A,"Electronic,Rock,Pop"
Chumbawamba,Tubthumping,1997,1990s,221.4076,103.811,0.7368,0.5961,D,Rock
Perry Como,Wanted,1954,1950s,92.47,72.82,0.1874,0.4508,C#,Pop
Nat King Cole,Pretend,1953,1950s,163.3594,79.243,0.1673,0.3146,Bb,Jazz
John Lennon,(Just Like) Starting Over,1980,1980s,254.6412,99.052,0.4224,0.6898,B,Rock
Akon,Lonely,2005,2000s,213.2262,90.101,0.5461,0.6232,F,Funk / Soul
Kingsmen,Louie Louie,1963,1960s,124.5576,124.941,0.4767,0.884,Ab,Rock
Perez Prado,Patricia,1958,1950s,139.6267,139.961,0.6392,0.7134,C#,Jazz
Coldplay,Viva La Vida,2008,2000s,114.6771,137.985,0.7431,0.4805,F,Electronic